Time (sec),Cell0 (V),Cell1 (V),Cell2 (V),Percentage
23.1606061459,4.107,4.1205,4.1025,100
47.1821579933,4.101,4.116,4.125,100
71.2010979652,4.125,4.146,4.122,100
95.2211501598,4.122,4.143,4.119,108.4316
119.2430720329,4.119,4.14,4.116,107.0186
143.2630600929,4.1175,4.1385,4.113,105.5283
167.2831809521,4.1145,4.1355,4.1115,104.8592
191.3060610294,4.113,4.134,4.1085,104.2376
215.3261039257,4.1115,4.1325,4.107,103.2985
239.3471720219,4.1085,4.1295,4.1055,102.6282
263.3700749874,4.107,4.128,4.104,102.1676
287.3885769844,4.1055,4.1265,4.101,101.6068
311.4131369591,4.104,4.125,4.0995,101.2225
335.4341130257,4.1025,4.122,4.0995,102.3172
359.4571239948,4.101,4.0905,4.0845,102.6277
383.4781589508,4.083,4.089,4.083,102.022
407.5002131462,4.0815,4.0875,4.0815,101.6064
431.5222120285,4.0815,4.086,4.08,101.3474
455.5447919369,4.0785,4.0845,4.0785,100.9825
479.5658099651,4.0785,4.0845,4.077,100.6452
503.587239027,4.077,4.083,4.074,100.4347
527.6079170704,4.0755,4.08,4.074,100.2351
551.6342511177,4.074,4.08,4.0725,100.0455
575.6571450233,4.074,4.0785,4.071,99.6951
599.6801810265,4.074,4.0785,4.0695,99.6129
623.7012469769,4.0725,4.077,4.0695,99.4549
647.7232370377,4.071,4.0755,4.0665,99.3789
671.7471749783,4.0695,4.0755,4.068,99.2328
695.7647240162,4.0695,4.074,4.0665,99.0938
719.790266037,4.0695,4.074,4.0665,98.8978
743.8141751289,4.068,4.0725,4.065,98.7748
767.8346481323,4.068,4.071,4.065,98.7748
791.8572850227,4.0665,4.071,4.062,98.7156
815.8792920113,4.065,4.071,4.062,98.546
839.9012811184,4.065,4.068,4.062,98.546
863.9241960049,4.0635,4.0695,4.0605,98.3368
887.9465100765,4.062,4.068,4.059,98.2873
911.9692230225,4.0605,4.065,4.059,98.2873
935.990252018,4.062,4.065,4.0575,98.1447
960.0132679939,4.059,4.065,4.056,98.01
984.0343010426,4.0575,4.0635,4.0575,97.9668
1008.0563220978,4.0575,4.062,4.0545,97.8413
1032.0783360005,4.056,4.0605,4.0545,97.7608
1056.1003210545,4.0545,4.059,4.053,97.6824
1080.124243021,4.0545,4.0575,4.053,97.6063
1104.1452670097,4.053,4.0575,4.0515,97.4587
1128.1672749519,4.0515,4.056,4.05,97.3513
1152.1865861416,4.05,4.053,4.0485,97.246
1176.21230793,4.047,4.0515,4.047,97.1077
1200.2316911221,4.0455,4.05,4.0455,97.0047
1224.2553601265,4.044,4.047,4.0425,96.8672
1248.2773699761,4.041,4.0455,4.041,96.7282
1272.2993659973,4.0395,4.0425,4.0395,96.5869
1296.3213779926,4.038,4.0395,4.038,96.4052
1320.3433680534,4.035,4.0395,4.0365,96.2928
1344.3639740944,4.0335,4.0365,4.0335,96.0591
1368.3874199391,4.0305,4.035,4.032,95.9371
1392.4058749676,4.0275,4.032,4.029,95.6819
1416.4313969612,4.026,4.029,4.0275,95.5029
1440.4504170418,4.023,4.026,4.026,95.22
1464.4754369259,4.0215,4.0245,4.023,95.0216
1488.4974031448,4.0185,4.0215,4.02,94.8151
1512.5194020271,4.017,4.02,4.017,94.6548
1536.5374889374,4.014,4.0185,4.0155,94.3203
1560.5634429455,4.014,4.017,4.0125,94.087
1584.5805640221,4.0095,4.014,4.0095,93.8456
1608.6073870659,4.0095,4.0125,4.0095,93.4685
1632.6303720474,4.0065,4.0095,4.008,93.3389
1656.6523599625,4.005,4.008,4.005,93.0065
1680.6689670086,4.0035,4.0065,4.002,92.8015
1704.6944761276,4.0005,4.005,4.002,92.6626
1728.7164649963,4.0005,4.0035,3.999,92.3795
1752.7384679318,3.9975,4.002,3.9975,92.1628
1776.7605021,3.996,4.0005,3.996,91.8682
1800.7824709416,3.996,3.999,3.993,91.6431
1824.8011450768,3.9945,3.996,3.9915,91.4147
1848.8264751434,3.993,3.996,3.99,91.2606
1872.8463470936,3.9915,3.993,3.9885,91.1052
1896.8704991341,3.99,3.993,3.987,90.7905
1920.8883271217,3.9885,3.9915,3.987,90.6313
1944.9144279957,3.987,3.99,3.9855,90.3092
1968.9348020554,3.987,3.99,3.984,90.0648
1992.9584770203,3.984,3.987,3.9825,89.9006
2016.9776439667,3.9825,3.987,3.9795,89.8181
2041.0034821034,3.9825,3.9855,3.9795,89.5693
2065.0245001316,3.981,3.984,3.978,89.4022
2089.0464811325,3.9795,3.9825,3.9765,89.0658
2113.068516016,3.9795,3.9825,3.9765,89.0658
2137.0904860497,3.978,3.981,3.975,88.8115
2161.1134960651,3.9765,3.9795,3.9735,88.5556
2185.1334490776,3.9765,3.978,3.972,88.3843
2209.1565110684,3.9765,3.978,3.9705,88.2984
2233.1736149788,3.9735,3.978,3.969,88.04
2257.2004921436,3.9735,3.9765,3.969,87.8672
2281.2234661579,3.972,3.975,3.9675,87.7805
2305.2454800606,3.972,3.975,3.966,87.607
2329.2664859295,3.9705,3.9735,3.9645,87.5201
2353.2884979248,3.9705,3.9735,3.9645,87.259
2377.3085520268,3.969,3.972,3.963,87.0845
2401.3273329735,3.969,3.972,3.9615,87.0845
2425.353399992,3.9675,3.969,3.9615,86.8222
2449.3755970001,3.966,3.969,3.9615,86.9097
2473.3976221085,3.966,3.969,3.96,86.6472
2497.4196031094,3.966,3.969,3.96,86.6472
2521.441642046,3.9645,3.9675,3.9585,86.2967
2545.4622330666,3.9645,3.9675,3.957,86.209
2569.4856641293,3.9645,3.9675,3.957,86.0336
2593.5058400631,3.963,3.966,3.957,86.0336
2617.5296430588,3.963,3.966,3.9555,85.7703
2641.5477790833,3.9615,3.9645,3.9555,85.7703
2665.5736551285,3.96,3.963,3.954,85.5949
2689.5956070423,3.96,3.963,3.9525,85.5072
2713.6186161041,3.96,3.9615,3.9525,85.2441
2737.6406130791,3.96,3.9615,3.9525,85.3317
2761.6600220203,3.9585,3.9615,3.951,85.1564
2785.6846101284,3.9585,3.96,3.9495,85.0688
2809.7056090832,3.957,3.96,3.9495,84.8936
2833.7276041508,3.957,3.9585,3.948,84.8062
2857.7496030331,3.9555,3.9585,3.9495,84.7187
2881.7726061344,3.9555,3.9585,3.948,84.5439
2905.7945959568,3.9555,3.9555,3.9465,84.5439
2929.8146970272,3.954,3.9555,3.9465,84.4565
2953.8367159367,3.954,3.9555,3.945,84.1948
2977.8587019444,3.954,3.9555,3.945,84.0207
3001.8807229996,3.9525,3.954,3.945,84.0207
3025.8979780674,3.951,3.9525,3.9435,83.8468
3049.9246840477,3.951,3.9525,3.942,83.8468
3073.9457199574,3.951,3.951,3.942,83.6732
3097.9696531296,3.951,3.951,3.942,83.5865
3121.9906430245,3.948,3.951,3.9405,83.3269
3146.0117459297,3.948,3.9495,3.939,83.3269
3170.0337591171,3.9465,3.9495,3.9405,83.2405
3194.0546309948,3.9465,3.948,3.9375,83.0679
3218.0777029991,3.945,3.9465,3.9375,82.9818
3242.0996880531,3.945,3.9465,3.936,82.8098
3266.1216700077,3.945,3.9465,3.936,82.6382
3290.1385791302,3.9435,3.9435,3.936,82.4668
3314.1647720337,3.9435,3.9435,3.9345,82.4668
3338.1860980988,3.942,3.9435,3.933,82.1254
3362.2087471485,3.9405,3.942,3.9315,81.9552
3386.2307300568,3.9405,3.942,3.9315,81.8703
3410.2527179718,3.939,3.942,3.93,81.7854
3434.2747139931,3.939,3.9405,3.93,81.7007
3458.2918100357,3.939,3.939,3.93,81.4471
3482.3177731037,3.9375,3.939,3.9285,81.3627
3506.3407380581,3.936,3.9375,3.9285,81.1102
3530.3601379395,3.936,3.9375,3.9255,81.1102
3554.3828289509,3.936,3.936,3.9255,81.0263
3578.4057729244,3.9345,3.936,3.924,80.6913
3602.4277410507,3.933,3.933,3.9225,80.5243
3626.4478311539,3.933,3.933,3.9225,80.5243
3650.4692840576,3.9315,3.9315,3.9225,80.2746
3674.4917600155,3.9315,3.9315,3.921,80.1086
3698.5128791332,3.93,3.9285,3.9195,80.1086
3722.5357949734,3.9285,3.9285,3.918,79.8601
3746.5567691326,3.9285,3.9285,3.918,79.7774
3770.577876091,3.927,3.927,3.9165,79.5299
3794.6005580425,3.927,3.927,3.9165,79.4475
3818.6184639931,3.9255,3.9255,3.915,79.283
3842.6428790093,3.9255,3.924,3.9135,79.2008
3866.6648211479,3.924,3.924,3.9135,78.9547
3890.6877889633,3.9225,3.9225,3.912,78.7908
3914.70581913,3.9225,3.9225,3.912,78.709
3938.7298460007,3.921,3.921,3.909,78.5455
3962.7504019737,3.9195,3.9195,3.9105,78.3821
