Time (sec),Cell0 (V),Cell1 (V),Cell2 (V)
16.12802791595459,,4.0800,4.0845
34.14403295516968,4.0830,4.0815,4.0860
52.16188311576843,4.0845,4.0830,4.0860
70.17979001998901,4.0845,4.0830,4.0860
88.19589304924011,4.0845,4.0830,4.0860
106.2091760635376,4.0845,4.0800,4.0815
124.21984791755676,4.0605,4.0770,4.0815
142.23720693588257,4.0590,4.0755,4.0785
160.25477504730225,4.0575,4.0755,4.0785
178.26879596710205,4.0560,4.0740,4.0770
196.28395199775696,4.0545,4.0725,4.0770
214.3001799583435,4.0545,4.0725,4.0740
232.31792211532593,4.0530,4.0710,4.0740
250.33291912078857,4.0515,4.0695,4.0740
268.3424959182739,4.0515,4.0695,4.0740
286.3607909679413,4.0500,4.0680,4.0725
304.37691593170166,4.0485,4.0695,4.0710
322.39203095436096,4.0470,4.0665,4.0695
340.40582299232483,4.0470,4.0680,4.0710
358.4209370613098,4.0440,4.0680,4.0710
376.43599009513855,4.0440,4.0665,4.0680
394.4509539604187,4.0425,4.0650,4.0680
412.46495389938354,4.0410,4.0650,4.0680
430.4800069332123,4.0410,4.0635,4.0680
448.49482798576355,4.0395,4.0635,4.0680
466.50986194610596,4.0380,4.0635,4.0665
484.5249629020691,4.0365,4.0620,4.0665
502.53897309303284,4.0365,4.0620,4.0665
520.5521709918976,4.0350,4.0605,4.0665
538.5688281059265,4.0335,4.0590,4.0665
556.5838589668274,4.0320,4.0605,4.0650
574.5961580276489,4.0305,4.0590,4.0650
592.6129469871521,4.0305,4.0575,4.0650
610.6280629634857,4.0290,4.0575,4.0650
628.6429789066315,4.0275,4.0560,4.0635
646.6570110321045,4.0275,4.0545,4.0635
664.6720950603485,4.0260,4.0545,4.0635
682.6870141029358,4.0245,4.0530,4.0635
700.7020139694214,4.0245,4.0530,4.0620
718.7160170078278,4.0215,4.0515,4.0635
736.7308549880981,4.0215,4.0500,4.0605
754.7460339069366,4.0200,4.0500,4.0620
772.7560169696808,4.0185,4.0485,4.0605
790.77476811409,4.0185,4.0470,4.0605
808.7853770256042,4.0185,4.0470,4.0605
826.8049960136414,4.0170,4.0455,4.0605
844.8199610710144,4.0155,4.0455,4.0590
862.8341319561005,4.0155,4.0425,4.0605
880.8478190898895,4.0140,4.0425,4.0590
898.8638648986816,4.0125,4.0410,4.0590
916.8734610080719,4.0125,4.0395,4.0575
934.8890631198883,4.0110,4.0395,4.0575
952.9040710926056,4.0110,4.0380,4.0575
970.9190609455109,4.0095,4.0380,4.0575
988.9293460845947,4.0080,4.0365,4.0560
1006.9480810165405,4.0080,4.0350,4.0560
1024.9630889892578,4.0065,4.0350,4.0545
1042.978185892105,4.0065,4.0335,4.0560
1060.9930930137634,4.0050,4.0320,4.0545
1079.006994009018,4.0035,4.0305,4.0545
1097.0179600715637,4.0035,4.0305,4.0530
1115.0369350910187,4.0035,4.0290,4.0530
1133.0481560230255,4.0020,4.0275,4.0515
1151.0661098957062,4.0005,4.0275,4.0515
1169.080018043518,4.0005,4.0260,4.0515
1187.09210896492,4.0005,4.0245,4.0515
1205.1037929058075,3.9990,4.0245,4.0515
1223.1207060813904,3.9990,4.0230,4.0500
1241.1319870948792,3.9990,4.0215,4.0485
1259.1509881019592,3.9975,4.0215,4.0485
1277.1651771068573,3.9975,4.0200,4.0485
1295.180146932602,3.9960,4.0185,4.0470
1313.1951370239258,3.9945,4.0185,4.0470
1331.2101519107819,3.9960,4.0170,4.0455
1349.224221944809,3.9945,4.0170,4.0440
1367.2391300201416,3.9945,4.0155,4.0425
1385.253046989441,3.9945,4.0140,4.0425
1403.2641570568085,3.9930,4.0140,4.0425
1421.2791550159454,3.9915,4.0125,4.0410
1439.2941660881042,3.9915,4.0125,4.0395
1457.3092460632324,3.9915,4.0125,4.0395
1475.3231189250946,3.9900,4.0095,4.0380
1493.3381769657135,3.9900,4.0110,4.0380
1511.3532450199127,3.9900,4.0095,4.0365
1529.3681840896606,3.9885,4.0080,4.0350
1547.3822529315948,3.9885,4.0080,4.0335
1565.3972709178925,3.9885,4.0080,4.0335
1583.410551071167,3.9885,4.0065,4.0335
1601.4230780601501,3.9870,4.0065,4.0320
1619.4373540878296,3.9870,4.0035,4.0305
1637.4521911144257,3.9855,4.0035,4.0290
1655.4672091007233,3.9855,4.0035,4.0290
1673.4788620471954,3.9855,4.0035,4.0290
1691.4960861206055,3.9840,4.0020,4.0260
1709.5104320049286,3.9840,4.0005,4.0245
1727.5262179374695,3.9840,4.0005,4.0230
1745.5401589870453,3.9825,4.0005,4.0230
1763.551223039627,3.9840,3.9990,4.0230
1781.564157962799,3.9825,3.9990,4.0215
1799.581307888031,3.9825,3.9975,4.0200
1817.5951159000397,3.9810,3.9975,4.0185
1835.6101870536804,3.9810,3.9975,4.0170
1853.6250948905945,3.9795,3.9975,4.0155
1871.640125989914,3.9795,3.9960,4.0155
1889.654347896576,3.9795,3.9960,4.0155
1907.6681621074677,3.9795,3.9945,4.0140
1925.6831331253052,3.9795,3.9945,4.0125
1943.6942698955536,3.9780,3.9930,4.0125
1961.7091600894928,3.9780,3.9930,4.0110
1979.7242360115051,3.9765,3.9930,4.0095
1997.7392559051514,3.9765,3.9915,4.0095
2015.753345966339,3.9780,3.9915,4.0080
2033.7681410312653,3.9765,3.9915,4.0080
2051.7831881046295,3.9765,3.9900,4.0065
2069.7982869148254,3.9750,3.9900,4.0050
2087.811217069626,3.9750,3.9900,4.0050
2105.823122024536,3.9750,3.9885,4.0035
2123.838133096695,3.9750,3.9885,4.0035
2141.8475880622864,3.9750,3.9885,4.0020
2159.8671340942383,3.9750,3.9885,4.0020
2177.881483078003,3.9735,3.9870,4.0005
2195.897381067276,3.9735,3.9870,4.0005
2213.9113008975983,3.9720,3.9855,3.9990
2231.9263179302216,3.9720,3.9870,3.9990
2249.9414570331573,3.9720,3.9855,3.9975
2267.95521402359,3.9720,3.9855,3.9960
2285.9662759304047,3.9720,3.9855,3.9960
2303.9805018901825,3.9720,3.9840,3.9945
2321.996335029602,3.9705,3.9840,3.9945
2340.009689092636,3.9705,3.9825,3.9930
2358.025267124176,3.9705,3.9825,3.9930
2376.0402851104736,3.9705,3.9825,3.9930
2394.0553629398346,3.9705,3.9825,3.9915
2412.0694069862366,3.9690,3.9810,3.9900
2430.083317041397,3.9690,3.9810,3.9900
2448.095360994339,3.9690,3.9795,3.9900
2466.1103599071503,3.9690,3.9810,3.9900
2484.1243069171906,3.9690,3.9795,3.9885
2502.1393749713898,3.9675,3.9795,3.9870
2520.1543910503387,3.9675,3.9795,3.9885
2538.1694190502167,3.9675,3.9795,3.9870
2556.1833980083466,3.9675,3.9795,3.9855
2574.1982641220093,3.9675,3.9780,3.9840
2592.213376045227,3.9675,3.9780,3.9855
2610.227269887924,3.9660,3.9765,3.9840
2628.2369940280914,3.9660,3.9765,3.9825
2646.2534420490265,3.9660,3.9780,3.9825
2664.2684071063995,3.9660,3.9750,3.9825
2682.2823400497437,3.9645,3.9765,3.9810
2700.2974309921265,3.9645,3.9765,3.9810
2718.312392950058,3.9645,3.9750,3.9810
2736.3274281024933,3.9645,3.9750,3.9795
2754.341551065445,3.9645,3.9750,3.9795
2772.355288028717,3.9630,3.9735,3.9795
2790.367301940918,3.9630,3.9735,3.9795
2808.3814780712128,3.9630,3.9735,3.9765
2826.39652299881,3.9630,3.9735,3.9765
2844.4114389419556,3.9630,3.9720,3.9765
2862.426435947418,3.9630,3.9735,3.9765
2880.4360671043396,3.9615,3.9720,3.9765
2898.455442905426,3.9615,3.9720,3.9750
2916.470449924469,3.9615,3.9720,3.9735
2934.4843571186066,3.9615,3.9705,3.9750
2952.4954810142517,3.9615,3.9705,3.9735
2970.5103590488434,3.9615,3.9705,3.9735
2988.5254321098328,3.9600,3.9705,3.9735
3006.5394740104675,3.9600,3.9705,3.9720
3024.5544810295105,3.9600,3.9690,3.9705
3042.568074941635,3.9600,3.9690,3.9705
3060.5843789577484,3.9600,3.9690,3.9705
3078.598468065262,3.9585,3.9690,3.9705
3096.6123719215393,3.9585,3.9690,3.9690
3114.6242508888245,3.9585,3.9690,3.9690
3132.638350009918,3.9585,3.9675,3.9690
3150.6535229682922,3.9570,3.9675,3.9690
3168.66814994812,3.9570,3.9660,3.9690
3186.6835079193115,3.9570,3.9675,3.9675
3204.6975090503693,3.9570,3.9660,3.9675
3222.712517976761,3.9555,3.9675,3.9675
3240.7274560928345,3.9570,3.9660,3.9660
3258.7415590286255,3.9555,3.9660,3.9675
3276.752522945404,3.9555,3.9660,3.9675
3294.7674100399017,3.9555,3.9645,3.9660
3312.782335996628,3.9555,3.9645,3.9660
3330.797409057617,3.9540,3.9660,3.9645
3348.810310125351,3.9540,3.9645,3.9660
3366.8264439105988,3.9540,3.9630,3.9645
3384.841458082199,3.9540,3.9630,3.9630
3402.8555479049683,3.9525,3.9630,3.9645
3420.8693799972534,3.9525,3.9630,3.9630
3438.8815410137177,3.9525,3.9630,3.9630
3456.896560907364,3.9510,3.9615,3.9630
3474.910656929016,3.9510,3.9615,3.9630
3492.925632953644,3.9510,3.9615,3.9615
3510.9405751228333,3.9510,3.9630,3.9615
3528.95557308197,3.9510,3.9615,3.9615
3546.9695971012115,3.9510,3.9615,3.9600
3564.984580039978,3.9495,3.9615,3.9600
3582.9985659122467,3.9480,3.9600,3.9600
3601.009836912155,3.9495,3.9600,3.9600
3619.0245990753174,3.9495,3.9600,3.9600
3637.0396659374237,3.9480,3.9600,3.9585
3655.0545949935913,3.9480,3.9600,3.9600
3673.068610906601,3.9480,3.9585,3.9585
3691.0836050510406,3.9465,3.9585,3.9570
3709.0984740257263,3.9480,3.9585,3.9570
3727.1136190891266,3.9450,3.9585,3.9570
3745.1264419555664,3.9465,3.9570,3.9585
3763.1386139392853,3.9450,3.9570,3.9570
3781.153615951538,3.9450,3.9570,3.9570
3799.167501926422,3.9450,3.9570,3.9570
3817.1825211048126,3.9450,3.9555,3.9555
3835.197638988495,3.9435,3.9555,3.9555
3853.212488889694,3.9435,3.9555,3.9540
3871.226639032364,3.9435,3.9555,3.9555
3889.2405428886414,3.9420,3.9540,3.9540
3907.252716064453,3.9435,3.9555,3.9555
3925.2665469646454,3.9420,3.9540,3.9540
3943.281646966934,3.9420,3.9540,3.9540
3961.2966680526733,3.9405,3.9525,3.9540
3979.3116569519043,3.9405,3.9540,3.9540
3997.325670003891,3.9405,3.9525,3.9525
4015.340684890747,3.9405,3.9510,3.9525
4033.3506660461426,3.9390,3.9525,3.9525
4051.3656821250916,3.9390,3.9525,3.9510
4069.380691051483,3.9390,3.9495,3.9510
4087.39568901062,3.9375,3.9495,3.9510
4105.410691976547,3.9375,3.9510,3.9495
4123.424763917923,3.9375,3.9495,3.9510
4141.439770936966,3.9375,3.9495,3.9510
4159.454700946808,3.9360,3.9480,3.9495
4177.466243028641,3.9360,3.9495,3.9495
4195.479710102081,3.9360,3.9480,3.9495
4213.491523981094,3.9345,3.9465,3.9495
4231.509717941284,3.9345,3.9465,3.9480
4249.523797035217,3.9330,3.9465,3.9495
4267.538713932037,3.9330,3.9465,3.9480
4285.55371594429,3.9345,3.9465,3.9480
4303.5687251091,3.9315,3.9450,3.9465
4321.580147981644,3.9315,3.9450,3.9465
4339.59373998642,3.9315,3.9450,3.9465
4357.608673095703,3.9315,3.9435,3.9465
4375.621912956238,3.9300,3.9435,3.9465
4393.637818098068,3.9300,3.9435,3.9450
4411.652586936951,3.9285,3.9420,3.9450
4429.667766094208,3.9285,3.9420,3.9450
4447.681831121445,3.9285,3.9420,3.9435
4465.692724943161,3.9285,3.9420,3.9435
4483.707757949829,3.9285,3.9420,3.9435
4501.722773075104,3.9285,3.9405,3.9420
4519.736958026886,3.9270,3.9390,3.9420
4537.751765012741,3.9270,3.9390,3.9435
4555.762001037598,3.9270,3.9405,3.9420
4573.78084897995,3.9270,3.9390,3.9420
4591.7948389053345,3.9255,3.9375,3.9405
4609.806515932083,3.9255,3.9390,3.9405
4627.821686029434,3.9240,3.9375,3.9405
4645.835618019104,3.9240,3.9375,3.9405
4663.850624084473,3.9240,3.9375,3.9405
4681.865756988525,3.9225,3.9360,3.9390
4699.880681037903,3.9225,3.9360,3.9390
4717.890198945999,3.9225,3.9360,3.9390
4735.908638954163,3.9225,3.9345,3.9390
4753.9208080768585,3.9210,3.9345,3.9375
4771.93488907814,3.9195,3.9330,3.9360
4789.949758052826,3.9210,3.9330,3.9360
4807.964833021164,3.9195,3.9330,3.9360
4825.979820013046,3.9195,3.9330,3.9360
4843.993828058243,3.9180,3.9315,3.9345
4862.007776021957,3.9180,3.9315,3.9345
4880.019836902618,3.9180,3.9315,3.9345
4898.033843040466,3.9180,3.9300,3.9345
4916.048718929291,3.9165,3.9300,3.9345
4934.063965082169,3.9165,3.9300,3.9330
4952.0788469314575,3.9150,3.9300,3.9315
4970.092889070511,3.9165,3.9285,3.9315
4988.107861995697,3.9150,3.9285,3.9315
5006.121849060059,3.9150,3.9285,3.9315
5024.13273692131,3.9135,3.9285,3.9300
5042.147732019424,3.9135,3.9270,3.9300
5060.162868022919,3.9135,3.9270,3.9300
5078.177889108658,3.9120,3.9255,3.9300
5096.191881895065,3.9120,3.9255,3.9285
5114.206972122192,3.9120,3.9255,3.9285
5132.219815015793,3.9120,3.9240,3.9270
5150.232892990112,3.9105,3.9240,3.9270
5168.246886968613,3.9105,3.9240,3.9270
5186.2619099617,3.9105,3.9225,3.9270
5204.276902914047,3.9090,3.9225,3.9255
5222.287791967392,3.9090,3.9225,3.9255
5240.30184006691,3.9090,3.9210,3.9240
5258.320912122726,3.9090,3.9210,3.9240
5276.3347260952,3.9075,3.9210,3.9240
5294.345824956894,3.9075,3.9195,3.9240
5312.36092209816,3.9060,3.9195,3.9225
5330.375963926315,3.9060,3.9195,3.9225
5348.389868021011,3.9045,3.9180,3.9225
5366.404894113541,3.9045,3.9180,3.9210
5384.4199941158295,3.9045,3.9180,3.9210
5402.433877944946,3.9045,3.9165,3.9210
5420.44494509697,3.9045,3.9165,3.9210
5438.459991931915,3.9030,3.9165,3.9195
5456.47496509552,3.9030,3.9150,3.9195
5474.489844083786,3.9030,3.9150,3.9180
5492.504004955292,3.9015,3.9135,3.9180
5510.5188529491425,3.9015,3.9135,3.9180
5528.533976078033,3.9015,3.9135,3.9165
5546.541157960892,3.9000,3.9135,3.9165
5564.558974027634,3.9000,3.9120,3.9165
5582.57404088974,3.8985,3.9120,3.9150
5600.588975906372,3.8985,3.9120,3.9150
5618.601557970047,3.8985,3.9105,3.9150
5636.617505073547,3.8985,3.9105,3.9135
5654.63303399086,3.8985,3.9105,3.9135
5672.646775007248,3.8955,3.9090,3.9135
5690.652899980545,3.8970,3.9105,3.9120
5708.672981977463,3.8955,3.9090,3.9135
5726.688018083572,3.8955,3.9090,3.9105
5744.700176000595,3.8955,3.9075,3.9105
5762.717020988464,3.8940,3.9075,3.9105
5780.7321100234985,3.8940,3.9060,3.9090
5798.746004104614,3.8940,3.9060,3.9090
5816.756944894791,3.8925,3.9060,3.9090
5834.771884918213,3.8925,3.9045,3.9090
5852.78702712059,3.8925,3.9045,3.9075
5870.801114082336,3.8910,3.9045,3.9075
5888.8158049583435,3.8910,3.9030,3.9060
5906.83100605011,3.8910,3.9015,3.9075
5924.844907999039,3.8895,3.9030,3.9060
5942.855955123901,3.8895,3.9030,3.9045
5960.8710770606995,3.8895,3.9030,3.9060
5978.886051893234,3.8880,3.9000,3.9045
5996.8992829322815,3.8880,3.9015,3.9030
6014.915008068085,3.8865,3.9000,3.9030
6032.930067062378,3.8880,3.8985,3.9030
6050.944003105164,3.8865,3.9000,3.9015
6068.955076932907,3.8865,3.8985,3.9015
6086.970071077347,3.8850,3.8970,3.9015
6104.985080003738,3.8850,3.8985,3.9015
6122.9990339279175,3.8850,3.8970,3.9000
6141.0090119838715,3.8850,3.8970,3.9000
6159.029095888138,3.8835,3.8970,3.9000
6177.042932033539,3.8835,3.8955,3.8985
6195.054102897644,3.8820,3.8940,3.8985
6213.069091081619,3.8835,3.8955,3.8970
6231.080145120621,3.8820,3.8940,3.8970
6249.099177122116,3.8820,3.8940,3.8970
6267.113125085831,3.8805,3.8925,3.8970
6285.128111124039,3.8805,3.8925,3.8955
6303.142061948776,3.8805,3.8925,3.8955
6321.153125047684,3.8790,3.8925,3.8955
6339.168210983276,3.8790,3.8910,3.8940
6357.183136940002,3.8790,3.8910,3.8955
6375.198142051697,3.8790,3.8910,3.8940
6393.209880113602,3.8775,3.8895,3.8925
6411.22713804245,3.8775,3.8910,3.8925
6429.242147922516,3.8760,3.8895,3.8910
6447.2521069049835,3.8760,3.8880,3.8925
6465.266000986099,3.8760,3.8880,3.8910
6483.281886100769,3.8760,3.8865,3.8910
6501.297334909439,3.8745,3.8880,3.8910
6519.311257123947,3.8745,3.8865,3.8895
6537.326162099838,3.8745,3.8865,3.8895
6555.341031074524,3.8730,3.8865,3.8880
6573.351176023483,3.8730,3.8865,3.8880
6591.36616897583,3.8730,3.8865,3.8880
6609.38124704361,3.8730,3.8850,3.8865
6627.396181106567,3.8730,3.8850,3.8865
6645.410181045532,3.8715,3.8820,3.8865
6663.425255060196,3.8715,3.8835,3.8865
6681.440201997757,3.8700,3.8820,3.8850
6699.453996896744,3.8715,3.8820,3.8850
6717.465262889862,3.8700,3.8820,3.8850
6735.480219125748,3.8700,3.8805,3.8850
6753.492717027664,3.8700,3.8805,3.8835
6771.50919508934,3.8700,3.8805,3.8835
6789.523999929428,3.8685,3.8805,3.8820
6807.5375390052795,3.8685,3.8790,3.8820
6825.5501210689545,3.8670,3.8790,3.8820
6843.560180902481,3.8670,3.8790,3.8805
6861.577717065811,3.8670,3.8790,3.8805
6879.593719005585,3.8670,3.8775,3.8790
6897.608251094818,3.8670,3.8775,3.8805
6915.6231689453125,3.8670,3.8775,3.8790
6933.636153936386,3.8655,3.8760,3.8790
6951.649307012558,3.8640,3.8760,3.8790
6969.663077116013,3.8640,3.8760,3.8790
6987.676192045212,3.8640,3.8745,3.8775
7005.693203926086,3.8640,3.8760,3.8760
7023.704298019409,3.8640,3.8760,3.8760
7041.7222599983215,3.8625,3.8745,3.8760
7059.737333059311,3.8625,3.8745,3.8760
7077.7474200725555,3.8625,3.8745,3.8760
7095.759629011154,3.8625,3.8730,3.8745
7113.773862123489,3.8610,3.8730,3.8745
7131.792216062546,3.8610,3.8730,3.8745
7149.807169914246,3.8610,3.8715,3.8730
7167.82119512558,3.8610,3.8715,3.8730
7185.836225032806,3.8610,3.8700,3.8730
7203.8501970767975,3.8595,3.8700,3.8730
7221.86144900322,3.8595,3.8700,3.8730
7239.876142978668,3.8595,3.8700,3.8715
7257.891298055649,3.8580,3.8700,3.8700
7275.905956029892,3.8580,3.8700,3.8700
7293.920315027237,3.8580,3.8685,3.8700
7311.935388088226,3.8580,3.8685,3.8700
7329.949275016785,3.8565,3.8670,3.8700
7347.960330963135,3.8580,3.8670,3.8700
7365.975327014923,3.8565,3.8670,3.8685
7383.99032497406,3.8565,3.8685,3.8685
7402.005383014679,3.8565,3.8670,3.8685
7420.019340991974,3.8565,3.8670,3.8685
7438.034425020218,3.8550,3.8655,3.8670
7456.048177957535,3.8550,3.8655,3.8670
7474.0551290512085,3.8550,3.8655,3.8670
7492.072165966034,3.8535,3.8640,3.8670
7510.089380979538,3.8535,3.8640,3.8655
7528.101784944534,3.8535,3.8625,3.8655
7546.117434024811,3.8535,3.8640,3.8655
7564.133414983749,3.8535,3.8640,3.8655
7582.147164106369,3.8535,3.8625,3.8640
7600.1592490673065,3.8520,3.8625,3.8640
7618.173418998718,3.8520,3.8610,3.8640
7636.188332080841,3.8520,3.8610,3.8625
7654.203363895416,3.8520,3.8625,3.8625
7672.217432975769,3.8505,3.8610,3.8625
7690.232386112213,3.8505,3.8610,3.8625
7708.246225118637,3.8505,3.8610,3.8625
7726.258484125137,3.8505,3.8610,3.8610
7744.272413015366,3.8490,3.8610,3.8610
7762.287360906601,3.8490,3.8595,3.8610
7780.302403926849,3.8490,3.8580,3.8595
7798.313226938248,3.8490,3.8580,3.8595
7816.3279728889465,3.8490,3.8595,3.8595
7834.337017059326,3.8490,3.8580,3.8580
7852.352169036865,3.8475,3.8580,3.8595
7870.3664610385895,3.8475,3.8580,3.8580
7888.384016036987,3.8475,3.8565,3.8580
7906.396661043167,3.8475,3.8565,3.8580
7924.416215896606,3.8475,3.8565,3.8580
7942.430200099945,3.8460,3.8565,3.8565
7960.443228006363,3.8460,3.8565,3.8565
7978.456003904343,3.8460,3.8565,3.8565
7996.470773935318,3.8460,3.8565,3.8550
8014.485091924667,3.8445,3.8550,3.8565
8032.500183105469,3.8445,3.8535,3.8550
8050.515173912048,3.8445,3.8535,3.8535
8068.5292711257935,3.8445,3.8535,3.8535
8086.543435096741,3.8445,3.8535,3.8535
8104.555073976517,3.8430,3.8535,3.8535
8122.569307088852,3.8430,3.8520,3.8535
8140.584042072296,3.8430,3.8535,3.8520
8158.596029043198,3.8430,3.8520,3.8520
8176.614249944687,3.8415,3.8520,3.8535
8194.628036022186,3.8415,3.8520,3.8505
8212.641897916794,3.8430,3.8520,3.8520
8230.65205192566,3.8415,3.8520,3.8520
8248.668035030365,3.8415,3.8505,3.8505
8266.680022001266,3.8415,3.8505,3.8505
8284.698424100876,3.8415,3.8490,3.8490
8302.713335037231,3.8400,3.8505,3.8505
8320.723993062973,3.8400,3.8490,3.8490
8338.738234996796,3.8400,3.8490,3.8490
8356.753366947174,3.8400,3.8490,3.8490
8374.7625041008,3.8385,3.8490,3.8490
8392.782516002655,3.8385,3.8475,3.8475
8410.797353029251,3.8385,3.8475,3.8475
8428.811669111252,3.8385,3.8475,3.8475
8446.823987960815,3.8385,3.8475,3.8475
8464.837182998657,3.8370,3.8475,3.8475
8482.852149009705,3.8385,3.8475,3.8460
8500.867356061935,3.8370,3.8475,3.8460
8518.88149189949,3.8370,3.8460,3.8445
8536.896389961243,3.8370,3.8460,3.8460
8554.91130399704,3.8370,3.8460,3.8460
8572.925370931625,3.8355,3.8460,3.8460
8590.936340093613,3.8355,3.8460,3.8445
8608.951292991638,3.8355,3.8460,3.8445
8626.96562409401,3.8355,3.8445,3.8430
8644.980005025864,3.8355,3.8445,3.8430
8662.995500087738,3.8355,3.8445,3.8430
8681.010421037674,3.8355,3.8445,3.8430
8699.024118900299,3.8340,3.8430,3.8415
8717.033884048462,3.8325,3.8430,3.8430
8735.050338029861,3.8340,3.8430,3.8415
8753.065505027771,3.8340,3.8430,3.8430
8771.079544067383,3.8325,3.8430,3.8415
8789.092015028,3.8325,3.8430,3.8415
8807.10938501358,3.8325,3.8415,3.8400
8825.123044967651,3.8310,3.8415,3.8415
8843.13469004631,3.8325,3.8415,3.8400
8861.149224042892,3.8325,3.8415,3.8400
8879.164379119873,3.8310,3.8415,3.8385
8897.178321123123,3.8310,3.8415,3.8385
8915.193447113037,3.8310,3.8400,3.8400
8933.206157922745,3.8310,3.8400,3.8370
8951.219471931458,3.8310,3.8400,3.8385
8969.231413125992,3.8310,3.8400,3.8370
8987.248476982117,3.8295,3.8400,3.8385
